t=2025-08-28T14:51:45-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-28T14:51:45-0500 lvl=info msg="using configuration at default config path" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml"
t=2025-08-28T14:51:45-0500 lvl=info msg="open config file" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-08-28T14:51:45-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-28T14:51:46-0500 lvl=info msg="update available" obj=updater
t=2025-08-28T14:51:47-0500 lvl=info msg=start pg=/api/tunnels id=0bb435807e39517c
t=2025-08-28T14:51:47-0500 lvl=info msg=end pg=/api/tunnels id=0bb435807e39517c status=200 dur=490.587µs
t=2025-08-28T14:51:47-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://e59e3b356644.ngrok-free.app
t=2025-08-28T14:52:04-0500 lvl=info msg=start pg=/api/tunnels id=42c529c3fe598bd8
t=2025-08-28T14:52:04-0500 lvl=info msg=end pg=/api/tunnels id=42c529c3fe598bd8 status=200 dur=181.593µs
t=2025-08-28T14:52:18-0500 lvl=info msg=start pg=/api/tunnels id=8bc746c9ace0d064
t=2025-08-28T14:52:18-0500 lvl=info msg=end pg=/api/tunnels id=8bc746c9ace0d064 status=200 dur=149.168µs
t=2025-08-28T14:52:31-0500 lvl=info msg=start pg=/api/tunnels id=a96c926838a1ace8
t=2025-08-28T14:52:31-0500 lvl=info msg=end pg=/api/tunnels id=a96c926838a1ace8 status=200 dur=148.479µs
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=f15b4da1757a l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=016220946fce l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=2dfd6e266113 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=7d7e5c5bef84 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:36-0500 lvl=info msg="join connections" obj=join id=c9f284d94d6a l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:36-0500 lvl=info msg="join connections" obj=join id=47fc262dc34a l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=e355af40fd26 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=8552f210a756 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=2f0cb158918d l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=e0133614f621 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=39edca45d317 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:37-0500 lvl=info msg="join connections" obj=join id=41e526997888 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:04-0500 lvl=info msg="join connections" obj=join id=74fcd1d18c50 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:05-0500 lvl=info msg="join connections" obj=join id=8fab848476ef l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=b0658bd864e9 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=7dba65d6c3de l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=dec77e1b54dd l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=2a6de6651662 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=f87a5591607a l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=9cf91a39be67 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=b114f40b2ed5 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=09b98850a5ea l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=b2de6d407842 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=703b73536278 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=4ecd8ddd6906 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=304cbd02add6 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=0cfd0d173884 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=4e92ca0a270b l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=933bc030acff l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=e7ecc3618c7e l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=566dc49c2dab l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=7b0f077c81c3 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=749324079fda l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=bd68c148b461 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:54:06-0500 lvl=info msg="join connections" obj=join id=df7d36619426 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
